source,label,frame,length
3D,19点モデル(拡張後),79,2.041964234357111
3D,19点モデル(拡張後),80,2.034362543741979
3D,19点モデル(拡張後),81,1.9684340362422104
3D,19点モデル(拡張後),82,2.0286790845279588
3D,19点モデル(拡張後),83,2.072826597128517
3D,19点モデル(拡張後),84,2.142111173175938
3D,19点モデル(拡張後),85,2.0847637402261867
3D,19点モデル(拡張後),86,2.1176387355347703
3D,19点モデル(拡張後),87,2.14489454695285
3D,19点モデル(拡張後),88,2.1597525782547584
3D,19点モデル(拡張後),89,2.151850462858568
3D,19点モデル(拡張後),90,2.201540604252275
3D,19点モデル(拡張後),91,2.2338850546704063
3D,19点モデル(拡張後),92,2.2657971766336185
3D,19点モデル(拡張後),93,2.2500659733395194
3D,19点モデル(拡張後),94,2.2174839065292073
3D,19点モデル(拡張後),95,2.2195594772628238
3D,19点モデル(拡張後),96,2.215460268038582
3D,19点モデル(拡張後),97,2.120701332123469
3D,19点モデル(拡張後),98,2.1143905925544235
3D,19点モデル(拡張後),99,2.1337955043312613
3D,19点モデル(拡張後),100,2.1703925202542345
3D,19点モデル(拡張後),101,2.1147445265134004
3D,正解データ,1,0.40895183151970116
3D,正解データ,2,0.40894469276596107
3D,正解データ,3,0.40893320210323114
3D,正解データ,4,0.40892945595062175
3D,正解データ,5,0.4089367714741514
3D,正解データ,6,0.40895173260611517
3D,正解データ,7,0.4089774713936215
3D,正解データ,8,0.40901927969263496
3D,正解データ,9,0.40908327987332904
3D,正解データ,10,0.4091774343397955
3D,正解データ,11,0.40929707303295515
3D,正解データ,12,0.40942159413670426
3D,正解データ,13,0.409523202767854
3D,正解データ,14,0.4095717133934488
3D,正解データ,15,0.40955151227866027
3D,正解データ,16,0.409478949820919
3D,正解データ,17,0.40940788477620527
3D,正解データ,18,0.4094147814591641
3D,正解データ,19,0.40957669605303454
3D,正解データ,20,0.4099335650739044
3D,正解データ,21,0.4104784411926925
3D,正解データ,22,0.4111453802484477
3D,正解データ,23,0.41184248853824523
3D,正解データ,24,0.4124893906096467
3D,正解データ,25,0.4130379139286067
3D,正解データ,26,0.4134897235896307
3D,正解データ,27,0.41388602075330594
3D,正解データ,28,0.41427362384903005
3D,正解データ,29,0.41469189844895815
3D,正解データ,30,0.41516850104358893
3D,正解データ,31,0.4157108616135865
3D,正解データ,32,0.41633674334072934
3D,正解データ,33,0.4170388154118388
3D,正解データ,34,0.41777578626102435
3D,正解データ,35,0.41852051374345467
3D,正解データ,36,0.41926195986200354
3D,正解データ,37,0.4199974514826238
3D,正解データ,38,0.4207324529502604
3D,正解データ,39,0.42146700824187705
3D,正解データ,40,0.42218968924086514
3D,正解データ,41,0.4228858007796187
3D,正解データ,42,0.42353465602542006
3D,正解データ,43,0.4241280305108367
3D,正解データ,44,0.4246666372555107
3D,正解データ,45,0.4251543822162789
3D,正解データ,46,0.4255912640622431
3D,正解データ,47,0.4259737152030076
3D,正解データ,48,0.4262961774917725
3D,正解データ,49,0.42654555520832327
3D,正解データ,50,0.42672340861734676
3D,正解データ,51,0.4268413689011631
3D,正解データ,52,0.4269169854738341
3D,正解データ,53,0.4269667305391799
3D,正解データ,54,0.4269922821916259
3D,正解データ,55,0.4269957360231102
3D,正解データ,56,0.42698390931964775
3D,正解データ,57,0.42696727381558514
3D,正解データ,58,0.4269572846329612
3D,正解データ,59,0.4269621056721505
3D,正解データ,60,0.4269826350362361
3D,正解データ,61,0.42701585840143924
3D,正解データ,62,0.4270553175325122
3D,正解データ,63,0.42709838254630933
3D,正解データ,64,0.4271425407553843
3D,正解データ,65,0.4271852656739015
3D,正解データ,66,0.4272275304794184
3D,正解データ,67,0.42727137512957564
3D,正解データ,68,0.4273152832371946
3D,正解データ,69,0.42735540453369725
3D,正解データ,70,0.4273870834342354
3D,正解データ,71,0.42740755636831435
3D,正解データ,72,0.4274130202788256
3D,正解データ,73,0.4274005109186972
3D,正解データ,74,0.42736854711669126
3D,正解データ,75,0.4273152779052128
3D,正解データ,76,0.4272416418867942
3D,正解データ,77,0.4271499864318074
3D,正解データ,78,0.4270445424473363
3D,正解データ,79,0.42693286940610875
3D,正解データ,80,0.4268249867319212
3D,正解データ,81,0.42673107999243853
3D,正解データ,82,0.42665853645492574
3D,正解データ,83,0.4266070426732306
3D,正解データ,84,0.4265704746330412
3D,正解データ,85,0.4265424265407229
3D,正解データ,86,0.42651700986551455
3D,正解データ,87,0.4264915505125214
3D,正解データ,88,0.4264659440102905
3D,正解データ,89,0.4264391148848596
3D,正解データ,90,0.426411423833206
3D,正解データ,91,0.42638455870674374
